wo_num,item_name,ord_qty,release_sim,due_sim,start_sim,finish_sim,lead_time,tardy,tardiness
WO-05633,ITEM-01093,8,370.0,412.0,370.0,386.6296874999999,16.629687499999875,False,0.0
WO-04210,ITEM-02467,10,370.0,412.0,370.0,386.71076388888883,16.710763888888835,False,0.0
WO-04693,ITEM-02133,15,373.0,429.0,373.0,386.8138888888885,13.813888888888528,False,0.0
WO-07315,ITEM-02636,1,356.0,422.0,356.0,386.8824305555554,30.882430555555402,False,0.0
WO-04742,ITEM-02636,1,356.0,423.0,356.0,386.8836805555555,30.883680555555486,False,0.0
WO-04799,ITEM-02636,1,356.0,423.0,356.0,386.88732638888854,30.88732638888854,False,0.0
WO-04501,ITEM-00568,20,373.0,416.0,373.0,386.92864583333335,13.928645833333348,False,0.0
WO-05124,ITEM-01168,20,371.0,420.0,371.0,387.03125,16.03125,False,0.0
WO-06842,ITEM-03003,1,372.0,393.0,372.0,387.0626736111111,15.062673611111109,False,0.0
WO-06944,ITEM-00819,7,372.0,421.0,372.0,387.1354166666667,15.135416666666686,False,0.0
WO-05917,ITEM-00423,7,370.0,447.0,370.0,387.1980902777778,17.198090277777794,False,0.0
WO-04140,ITEM-00172,10,377.0,398.0,377.0,387.1980902777778,10.198090277777794,False,0.0
WO-04113,ITEM-02610,1,330.0,398.0,330.0,387.19999999999993,57.19999999999993,False,0.0
WO-04577,ITEM-02610,1,330.0,398.0,330.0,387.2034722222222,57.20347222222222,False,0.0
WO-04122,ITEM-01843,5,371.0,420.0,371.0,387.2195138888889,16.219513888888912,False,0.0
WO-06015,ITEM-00645,10,377.0,398.0,377.0,387.25019444444433,10.250194444444332,False,0.0
WO-06837,ITEM-00919,12,344.0,419.0,344.0,387.2815972222222,43.28159722222222,False,0.0
WO-06478,ITEM-00422,6,377.0,398.0,377.0,387.28694444444443,10.28694444444443,False,0.0
WO-05050,ITEM-02040,35,373.0,422.0,373.0,387.29590277777777,14.29590277777777,False,0.0
WO-04473,ITEM-02636,1,371.0,434.0,371.0,387.30295138888886,16.302951388888857,False,0.0
WO-05059,ITEM-01334,30,371.0,420.0,371.0,387.3236805555556,16.323680555555597,False,0.0
WO-06630,ITEM-00590,7,377.0,398.0,377.0,387.33052083333314,10.33052083333314,False,0.0
WO-01968,ITEM-00223,1,379.0,414.0,379.0,387.33052083333314,8.33052083333314,False,0.0
WO-05678,ITEM-00882,12,366.0,408.0,366.0,387.3847569444441,21.38475694444412,False,0.0
WO-04474,ITEM-02636,1,371.0,434.0,371.0,387.4300347222218,16.43003472222182,False,0.0
WO-05741,ITEM-00469,20,371.0,449.0,371.0,387.4520833333334,16.452083333333405,False,0.0
WO-07121,ITEM-02752,4,336.0,482.0,336.0,387.6878472222222,51.68784722222222,False,0.0
WO-04315,ITEM-00039,1,349.0,415.0,349.0,387.7150694444443,38.71506944444428,False,0.0
WO-06393,ITEM-02769,10,383.0,418.0,383.0,387.96059027777784,4.96059027777784,False,0.0
WO-04778,ITEM-03060,56,383.0,462.0,383.0,388.4933680555554,5.493368055555379,False,0.0
WO-07286,ITEM-03861,10,384.0,419.0,384.0,388.96059027777784,4.96059027777784,False,0.0
WO-04800,ITEM-02610,1,335.0,401.0,335.0,389.08628472222193,54.08628472222193,False,0.0
WO-05955,ITEM-01954,2,345.0,406.0,345.0,389.09375,44.09375,False,0.0
