wo_num,item_name,ord_qty,release_sim,due_sim,start_sim,finish_sim,lead_time,tardy,tardiness
WO-02893,ITEM-02317,12,264.0,334.0,264.0,308.0625,44.0625,False,0.0
WO-05184,ITEM-01258,6,289.0,338.0,289.0,308.0626736111111,19.06267361111111,False,0.0
WO-06692,ITEM-00917,12,266.0,329.0,266.0,308.0626736111111,42.06267361111111,False,0.0
WO-06142,ITEM-01039,100,282.0,338.0,282.0,308.0628472222222,26.062847222222217,False,0.0
WO-06777,ITEM-02531,6,289.0,338.0,289.0,308.0628472222223,19.062847222222274,False,0.0
WO-04232,ITEM-01408,6,300.0,321.0,300.0,308.07135416666665,8.071354166666652,False,0.0
WO-01340,ITEM-00424,28,285.0,327.0,285.0,308.07135416666665,23.07135416666665,False,0.0
WO-04699,ITEM-01891,40,294.0,336.0,294.0,308.07135416666665,14.071354166666652,False,0.0
WO-05799,ITEM-02063,6,289.0,371.0,289.0,308.07135416666665,19.07135416666665,False,0.0
WO-04936,ITEM-00615,6,289.0,379.0,289.0,308.07135416666665,19.07135416666665,False,0.0
WO-01837,ITEM-01653,15,285.0,348.0,285.0,308.10451388888896,23.10451388888896,False,0.0
WO-03995,ITEM-00861,12,296.0,338.0,296.0,308.10451388888896,12.10451388888896,False,0.0
WO-02989,ITEM-00227,8,267.0,351.0,267.0,308.10451388888896,41.10451388888896,False,0.0
